Year,Team,Player,G,W,L,IP,ERA,FIP,WHIP,K%,BB%,HR/9,BABIP,V_R_ERA,V_R_WHIP,V_R_AVG,V_R_OBP,V_L_ERA,V_L_WHIP,V_L_AVG,V_L_OBP
2025,두산,콜어빈,28,8,12,144.2,4.48,4.59,1.53,19.7,12.2,0.56,0.332,4.23,1.49,0.239,0.370,4.55,1.50,0.290,0.374
2025,두산,곽빈,19,5,7,109.1,4.20,3.71,1.25,23.0,8.8,0.74,0.286,2.89,0.71,0.166,0.195,4.88,1.63,0.252,0.360
2025,두산,최승용,23,5,7,116.1,4.41,4.37,1.35,14.0,7.1,0.62,0.297,5.09,1.45,0.277,0.340,4.02,1.34,0.263,0.322
2025,두산,최민석,17,3,3,77.2,4.40,4.85,1.36,15.9,10.2,0.81,0.281,3.52,1.17,0.192,0.298,5.11,1.57,0.293,0.373
2025,두산,김택연,64,4,5,66.1,3.53,3.71,1.18,28.1,11.0,0.81,0.263,3.99,1.02,0.192,0.282,3.31,1.27,0.206,0.309
2025,두산,최원준,47,4,7,107.0,4.71,5.70,1.34,13.6,8.3,1.51,0.264,6.66,1.27,0.239,0.312,2.83,1.35,0.275,0.330
2025,두산,이영하,73,4,4,66.2,4.05,4.09,1.53,24.1,13.0,0.54,0.341,4.11,1.43,0.252,0.362,3.34,1.58,0.252,0.368
2025,두산,박신지,54,2,4,60.0,2.85,4.56,1.40,13.6,11.0,0.45,0.275,2.45,1.21,0.231,0.309,3.60,1.60,0.268,0.372
2025,두산,양재훈,19,0,0,23.1,4.24,4.51,1.16,20.4,8.6,1.16,0.254,5.11,1.14,0.222,0.280,3.38,1.22,0.237,0.310
2025,두산,박정수,29,1,0,26.1,4.10,4.28,1.48,12.6,6.7,0.34,0.341,4.32,1.38,0.309,0.351,3.72,1.66,0.294,0.405
2025,두산,박치국,73,4,4,62.1,3.75,3.78,1.27,21.0,7.7,0.58,0.305,1.55,0.89,0.179,0.261,8.02,1.88,0.333,0.396
2025,두산,이교훈,10,1,0,7.2,1.17,3.72,1.04,24.1,13.8,0.00,0.250,0.00,0.43,0.167,0.167,1.80,1.00,0.188,0.316
2025,두산,제환유,6,0,1,16.1,4.96,6.70,1.78,10.3,15.4,1.10,0.278,1.80,1.90,0.317,0.417,11.12,1.59,0.200,0.346
2025,두산,김민규,7,1,1,9.2,4.66,6.91,1.55,12.8,12.8,0.93,0.267,6.00,1.33,0.263,0.370,0.00,1.50,0.250,0.412
2025,두산,홍민규,20,2,1,33.1,4.59,5.61,1.56,11.3,9.9,1.08,0.290,2.76,1.78,0.308,0.395,6.61,1.35,0.262,0.306
2025,두산,김한중,2,0,0,2.0,0.00,3.92,0.50,0.0,0.0,0.00,0.125,0.00,1.00,0.200,0.200,0.00,0.00,0.000,0.000
2025,두산,홍건희,20,2,1,16.0,6.19,6.06,2.06,18.1,18.1,1.13,0.327,6.52,2.48,0.325,0.471,6.35,1.59,0.208,0.321
2025,두산,최종인,3,0,0,1.2,5.40,2.18,2.40,55.6,33.3,0.00,1.000,9.00,3.00,0.250,0.500,0.00,1.50,0.000,0.333
